name,specialization,latitude,longitude,hospital_name
Dr. Ahmed Khan,CARDIOLOGIST,24.8607,67.0011,Aga Khan University Hospital
Dr. Sarah Ali,NEUROLOGIST,24.8615,67.0021,Liaquat National Hospital
Dr. Hassan Raza,PULMONOLOGIST,24.8590,67.0005,South City Hospital
Dr. Fatima Noor,GENERAL PHYSICIAN,24.8620,67.0030,Ziauddin Hospital
Dr. Imran Sheikh,ENDOCRINOLOGIST,24.8580,67.0015,Patel Hospital
Dr. Ayesha Malik,PSYCHIATRIST,24.8625,67.0025,Aga Khan University Hospital
Dr. Bilal Ahmed,ELECTROPHYSIOLOGIST,24.8600,67.0020,National Institute of Cardiovascular Diseases
Dr. Zainab Hussain,PAEDIATRIC NEUROLOGIST,24.8610,67.0012,The Indus Hospital
Dr. Usman Tariq,INFECTIOUS DISEASES,24.8595,67.0008,Jinnah Postgraduate Medical Centre
Dr. Maryam Khan,ALLERGY CLINIC,24.8618,67.0028,Ziauddin Hospital
Dr. Kamran Siddiqui,HEART FAILURE,24.8605,67.0018,National Institute of Cardiovascular Diseases
Dr. Sana Farooq,PSYCHOLOGIST,24.8622,67.0032,Mind & Body Clinic
Dr. Rashid Mahmood,MEDICINE,24.8588,67.0010,Civil Hospital Karachi
Dr. Hina Asif,FAMILY MEDICINE,24.8612,67.0022,Health City Hospital
Dr. Adnan Qureshi,EMERGENCY MEDICINE,24.8598,67.0016,Aga Khan University Hospital
Dr. Rabia Iqbal,GENERAL PHYSICIAN,24.8628,67.0035,Mamji Hospital
Dr. Faisal Aziz,CARDIOLOGIST,24.8592,67.0013,Tabba Heart Institute
Dr. Nadia Jamil,PULMONOLOGIST,24.8608,67.0024,Ziauddin Hospital
Dr. Salman Haider,NEUROLOGIST,24.8585,67.0007,Liaquat National Hospital
Dr. Amina Yousuf,ENDOCRINOLOGIST,24.8630,67.0038,Baqai Medical University Hospital
